Instance, Tickets
2017-10-25 12:17:01.951600, 28
2017-10-25 12:17:22.357900, 28
2017-10-25 12:17:42.764100, 27
2017-10-25 12:18:03.186100, 26
2017-10-25 12:18:23.795400, 26
2017-10-25 12:18:44.311100, 26
2017-10-25 12:19:04.795500, 23
2017-10-25 12:19:15.139300, 23
2017-10-25 12:19:25.467400, 23
2017-10-25 12:19:35.795600, 22
2017-10-25 12:19:46.123800, 22
2017-10-25 12:19:56.436300, 22
2017-10-25 12:20:06.873800, 22
2017-10-25 12:20:17.201900, 22
2017-10-25 12:20:27.514600, 20
2017-10-25 12:20:37.842700, 18
2017-10-25 12:20:48.155100, 19
2017-10-25 12:20:58.467600, 20
2017-10-25 12:21:08.795800, 19
2017-10-25 12:21:19.092700, 17
2017-10-25 12:21:29.420800, 17
2017-10-25 12:21:39.749000, 17
2017-10-25 12:21:50.233400, 16
2017-10-25 12:22:00.592800, 16
2017-10-25 12:22:10.874000, 15
2017-10-25 12:22:21.202200, 15
2017-10-25 12:22:31.514700, 13
2017-10-25 12:22:41.795900, 12
2017-10-25 12:22:52.077200, 12
2017-10-25 12:23:02.374100, 12
2017-10-25 12:23:12.686600, 12
2017-10-25 12:23:23.014800, 12
2017-10-25 12:23:33.452300, 12
2017-10-25 12:23:43.764900, 12
2017-10-25 12:23:54.093000, 12
2017-10-25 12:24:04.421100, 12
2017-10-25 12:24:14.749300, 12
2017-10-25 12:24:25.046200, 12
2017-10-25 12:24:35.374300, 12
2017-10-25 12:24:45.671200, 12
2017-10-25 12:24:55.999400, 12
2017-10-25 12:25:06.327500, 12
2017-10-25 12:25:16.874400, 10
2017-10-25 12:25:27.186900, 10
2017-10-25 12:25:37.530700, 9
2017-10-25 12:25:47.952600, 8
2017-10-25 12:25:58.280700, 7
2017-10-25 12:26:08.702600, 7
2017-10-25 12:26:19.155700, 7
2017-10-25 12:26:29.577600, 7
2017-10-25 12:26:39.968300, 7
2017-10-25 12:26:50.296600, 7
2017-10-25 12:27:00.937100, 4
2017-10-25 12:27:11.249600, 4
2017-10-25 12:27:21.624600, 4
2017-10-25 12:27:31.968400, 4
2017-10-25 12:27:42.265400, 4
2017-10-25 12:27:52.718400, 4
2017-10-25 12:28:03.109100, 4
2017-10-25 12:28:13.593500, 4
2017-10-25 12:28:24.062200, 4
2017-10-25 12:28:34.578000, 5
2017-10-25 12:28:45.187300, 4
2017-10-25 12:28:55.499800, 4
2017-10-25 12:29:05.890500, 4
2017-10-25 12:29:16.343600, 4
2017-10-25 12:29:26.796800, 4
2017-10-25 12:29:37.234300, 4
2017-10-25 12:29:47.656200, 4
2017-10-25 12:29:58.078200, 4
2017-10-25 12:30:08.500000, 4
2017-10-25 12:30:18.906300, 3
2017-10-25 12:30:29.500000, 3
2017-10-25 12:30:39.812500, 3
2017-10-25 12:30:50.140800, 3
2017-10-25 12:31:00.515700, 3
2017-10-25 12:31:10.890700, 3
2017-10-25 12:31:21.328300, 3
2017-10-25 12:31:31.656400, 3
2017-10-25 12:31:42.093900, 3
2017-10-25 12:31:52.422000, 3
2017-10-25 12:32:02.812700, 3
2017-10-25 12:32:13.453400, 3
2017-10-25 12:32:23.750200, 3
2017-10-25 12:32:34.156500, 3
2017-10-25 12:32:44.562800, 3
2017-10-25 12:32:54.937800, 3
2017-10-25 12:33:05.391100, 3
2017-10-25 12:33:15.766000, 3
2017-10-25 12:33:26.141000, 3
2017-10-25 12:33:36.906600, 3
2017-10-25 12:33:47.281600, 3
2017-10-25 12:33:57.953500, 4
2017-10-25 12:34:08.344300, 4
2017-10-25 12:34:18.750500, 4
2017-10-25 12:34:29.203600, 4
2017-10-25 12:34:39.578600, 4
2017-10-25 12:34:50.000500, 4
2017-10-25 12:35:00.500500, 4
2017-10-25 12:35:10.938000, 4
2017-10-25 12:35:21.360000, 4
2017-10-25 12:35:31.656900, 4
2017-10-25 12:35:42.235000, 4
2017-10-25 12:35:52.547500, 5
2017-10-25 12:36:02.969400, 5
2017-10-25 12:36:13.344500, 5
2017-10-25 12:36:23.688500, 5
2017-10-25 12:36:34.110100, 5
2017-10-25 12:36:44.516700, 5
2017-10-25 12:36:54.860100, 5
2017-10-25 12:37:05.250800, 5
2017-10-25 12:37:15.672700, 5
2017-10-25 12:37:26.360200, 6
2017-10-25 12:37:36.688400, 5
2017-10-25 12:37:47.079000, 5
2017-10-25 12:37:57.422700, 5
2017-10-25 12:38:07.829000, 5
2017-10-25 12:38:18.157200, 5
2017-10-25 12:38:28.563400, 5
2017-10-25 12:38:39.032200, 5
2017-10-25 12:38:49.407200, 5
2017-10-25 12:38:59.844800, 5
2017-10-25 12:39:10.438500, 5
2017-10-25 12:39:20.782400, 5
2017-10-25 12:39:31.126100, 5
2017-10-25 12:39:41.454200, 5
2017-10-25 12:39:51.844900, 5
2017-10-25 12:40:02.204300, 5
2017-10-25 12:40:12.610500, 5
2017-10-25 12:40:22.985500, 5
2017-10-25 12:40:33.376200, 5
2017-10-25 12:40:43.782400, 5
2017-10-25 12:40:54.423100, 5
2017-10-25 12:41:04.766900, 5
2017-10-25 12:41:15.141900, 5
2017-10-25 12:41:25.517000, 5
2017-10-25 12:41:35.938800, 4
2017-10-25 12:41:46.360700, 4
2017-10-25 12:41:56.751300, 4
2017-10-25 12:42:07.173200, 4
2017-10-25 12:42:17.610800, 4
2017-10-25 12:42:28.017000, 4
2017-10-25 12:42:38.782700, 4
2017-10-25 12:42:49.126400, 4
2017-10-25 12:42:59.470200, 4
2017-10-25 12:43:09.814000, 4
2017-10-25 12:43:20.204600, 4
2017-10-25 12:43:30.548400, 4
2017-10-25 12:43:40.954700, 4
2017-10-25 12:43:51.470400, 4
2017-10-25 12:44:01.814100, 4
2017-10-25 12:44:12.236000, 4
2017-10-25 12:44:22.798500, 4
2017-10-25 12:44:33.204800, 4
2017-10-25 12:44:43.564200, 4
2017-10-25 12:44:54.002900, 4
2017-10-25 12:45:04.376700, 4
2017-10-25 12:45:14.814300, 4
2017-10-25 12:45:25.220500, 4
2017-10-25 12:45:35.689400, 4
2017-10-25 12:45:46.033000, 4
2017-10-25 12:45:56.454900, 4
2017-10-25 12:46:07.018300, 4
2017-10-25 12:46:17.376800, 4
2017-10-25 12:46:27.783200, 4
2017-10-25 12:46:38.205100, 5
2017-10-25 12:46:48.611300, 5
2017-10-25 12:46:59.001900, 5
2017-10-25 12:47:09.361400, 5
2017-10-25 12:47:19.783300, 5
2017-10-25 12:47:30.189500, 5
2017-10-25 12:47:40.517700, 5
2017-10-25 12:47:51.173900, 5
2017-10-25 12:48:01.486500, 5
2017-10-25 12:48:11.892700, 6
2017-10-25 12:48:22.314600, 6
2017-10-25 12:48:32.689700, 6
2017-10-25 12:48:43.080300, 6
2017-10-25 12:48:53.486500, 6
2017-10-25 12:49:03.908400, 6
2017-10-25 12:49:14.330300, 6
2017-10-25 12:49:24.736600, 6
2017-10-25 12:49:35.361600, 7
2017-10-25 12:49:45.799100, 6
2017-10-25 12:49:56.299200, 6
2017-10-25 12:50:06.658600, 6
2017-10-25 12:50:17.111700, 6
2017-10-25 12:50:27.471100, 6
2017-10-25 12:50:37.846100, 6
2017-10-25 12:50:48.252400, 6
2017-10-25 12:50:58.658700, 6
2017-10-25 12:51:09.080500, 7
2017-10-25 12:51:19.752400, 6
2017-10-25 12:51:30.065000, 6
2017-10-25 12:51:40.440000, 7
2017-10-25 12:51:50.799400, 7
2017-10-25 12:52:01.236900, 7
2017-10-25 12:52:11.674400, 7
2017-10-25 12:52:22.096300, 7
2017-10-25 12:52:32.455700, 7
2017-10-25 12:52:42.862000, 7
2017-10-25 12:52:53.315200, 7
2017-10-25 12:53:03.987000, 7
2017-10-25 12:53:14.283900, 7
2017-10-25 12:53:24.596500, 7
2017-10-25 12:53:34.971400, 7
2017-10-25 12:53:45.330800, 7
2017-10-25 12:53:55.705900, 7
2017-10-25 12:54:06.080900, 7
2017-10-25 12:54:16.440300, 7
2017-10-25 12:54:26.846600, 7
2017-10-25 12:54:37.252800, 7
2017-10-25 12:54:47.909100, 7
2017-10-25 12:54:58.206000, 7
2017-10-25 12:55:08.627900, 7
2017-10-25 12:55:19.034200, 7
2017-10-25 12:55:30.034200, 7
2017-10-25 12:55:40.409200, 7
2017-10-25 12:55:50.831100, 7
2017-10-25 12:56:01.174900, 7
2017-10-25 12:56:11.581100, 7
2017-10-25 12:56:21.987400, 7
2017-10-25 12:56:32.612400, 7
2017-10-25 12:56:43.003100, 7
2017-10-25 12:56:53.425000, 7
2017-10-25 12:57:03.815600, 7
2017-10-25 12:57:14.206300, 7
2017-10-25 12:57:24.643800, 7
2017-10-25 12:57:35.206500, 7
2017-10-25 12:57:45.565700, 7
2017-10-25 12:57:55.940700, 7
2017-10-25 12:58:06.378300, 7
2017-10-25 12:58:16.909500, 7
2017-10-25 12:58:27.222000, 7
2017-10-25 12:58:37.612700, 8
2017-10-25 12:58:48.034600, 8
2017-10-25 12:58:58.425200, 8
2017-10-25 12:59:08.815900, 8
2017-10-25 12:59:19.300300, 8
2017-10-25 12:59:29.690900, 8
2017-10-25 12:59:40.097300, 8
2017-10-25 12:59:50.565900, 8
2017-10-25 13:00:01.112900, 8
2017-10-25 13:00:11.409700, 8
2017-10-25 13:00:21.722200, 8
2017-10-25 13:00:32.144200, 8
2017-10-25 13:00:42.550400, 8
2017-10-25 13:00:52.988000, 8
2017-10-25 13:01:03.503700, 8
2017-10-25 13:01:13.909800, 8
2017-10-25 13:01:24.363000, 8
2017-10-25 13:01:34.753700, 8
2017-10-25 13:01:45.238000, 8
2017-10-25 13:01:55.644300, 8
2017-10-25 13:02:06.050600, 8
2017-10-25 13:02:16.535000, 8
2017-10-25 13:02:26.878800, 8
2017-10-25 13:02:37.269400, 8
2017-10-25 13:02:47.785000, 8
2017-10-25 13:02:58.113200, 8
2017-10-25 13:03:08.550700, 8
2017-10-25 13:03:18.910100, 8
2017-10-25 13:03:29.363200, 8
2017-10-25 13:03:39.660100, 8
2017-10-25 13:03:50.003900, 8
2017-10-25 13:04:00.425800, 8
2017-10-25 13:04:10.894600, 8
2017-10-25 13:04:21.379100, 8
2017-10-25 13:04:31.847800, 8
2017-10-25 13:04:42.269600, 8
2017-10-25 13:04:52.629000, 8
2017-10-25 13:05:03.082200, 8
2017-10-25 13:05:13.629100, 8
2017-10-25 13:05:23.957200, 8
2017-10-25 13:05:34.316600, 8
2017-10-25 13:05:44.754200, 8
2017-10-25 13:05:55.082300, 8
2017-10-25 13:06:05.473000, 8
2017-10-25 13:06:16.035500, 8
2017-10-25 13:06:26.441700, 8
2017-10-25 13:06:36.832400, 8
2017-10-25 13:06:47.238600, 8
2017-10-25 13:06:57.723000, 8
2017-10-25 13:07:08.051200, 8
2017-10-25 13:07:18.379300, 9
2017-10-25 13:07:28.801200, 9
2017-10-25 13:07:39.223100, 9
2017-10-25 13:07:49.645000, 9
2017-10-25 13:08:00.254400, 9
2017-10-25 13:08:10.629500, 8
2017-10-25 13:08:21.051300, 8
2017-10-25 13:08:31.442000, 8
2017-10-25 13:08:42.254500, 9
2017-10-25 13:08:52.707600, 8
2017-10-25 13:09:03.129500, 8
2017-10-25 13:09:13.473300, 8
2017-10-25 13:09:23.926400, 8
2017-10-25 13:09:34.286000, 8
2017-10-25 13:09:44.848400, 9
2017-10-25 13:09:55.192100, 8
2017-10-25 13:10:05.614000, 8
2017-10-25 13:10:15.957800, 8
2017-10-25 13:10:26.504700, 8
2017-10-25 13:10:36.817200, 8
2017-10-25 13:10:47.161000, 8
2017-10-25 13:10:57.598500, 8
2017-10-25 13:11:08.036000, 8
2017-10-25 13:11:18.395400, 8
2017-10-25 13:11:28.942300, 8
2017-10-25 13:11:39.379900, 8
2017-10-25 13:11:50.036100, 8
2017-10-25 13:12:00.426800, 8
2017-10-25 13:12:11.020500, 8
2017-10-25 13:12:21.317400, 8
2017-10-25 13:12:31.676800, 8
2017-10-25 13:12:42.051900, 8
2017-10-25 13:12:52.442500, 8
2017-10-25 13:13:02.849400, 8
2017-10-25 13:13:13.458200, 8
2017-10-25 13:13:23.848800, 8
2017-10-25 13:13:34.208300, 8
2017-10-25 13:13:44.551900, 8
2017-10-25 13:13:55.036400, 8
2017-10-25 13:14:05.411400, 9
2017-10-25 13:14:15.817700, 9
2017-10-25 13:14:26.177000, 10
2017-10-25 13:14:36.552000, 9
2017-10-25 13:14:46.989600, 9
2017-10-25 13:14:57.520900, 9
2017-10-25 13:15:07.849000, 9
2017-10-25 13:15:18.161600, 9
2017-10-25 13:15:28.458400, 11
2017-10-25 13:15:38.864700, 10
2017-10-25 13:15:49.208400, 10
2017-10-25 13:15:59.536600, 10
2017-10-25 13:16:09.880400, 10
2017-10-25 13:16:20.177300, 11
2017-10-25 13:16:30.505400, 10
2017-10-25 13:16:40.802300, 11
