Instance, Tickets
2017-10-25 12:16:55.560900, 3
2017-10-25 12:17:05.982800, 3
2017-10-25 12:17:16.326600, 3
2017-10-25 12:17:26.717200, 3
2017-10-25 12:17:37.092200, 3
2017-10-25 12:17:47.592400, 3
2017-10-25 12:17:57.998500, 3
2017-10-25 12:18:08.389200, 3
2017-10-25 12:18:18.764200, 3
2017-10-25 12:18:29.170600, 3
2017-10-25 12:18:39.592400, 3
2017-10-25 12:18:49.998600, 3
2017-10-25 12:19:00.404900, 3
2017-10-25 12:19:10.889300, 3
2017-10-25 12:19:21.373700, 3
2017-10-25 12:19:31.889300, 3
2017-10-25 12:19:42.280000, 3
2017-10-25 12:19:52.655100, 1
2017-10-25 12:20:03.061300, 1
2017-10-25 12:20:13.451900, 1
2017-10-25 12:20:23.826900, 1
2017-10-25 12:20:34.186300, 1
2017-10-25 12:20:44.623800, 1
2017-10-25 12:20:55.061400, 1
2017-10-25 12:21:05.436400, 1
2017-10-25 12:21:16.030200, 1
2017-10-25 12:21:26.483300, 1
2017-10-25 12:21:36.889800, 1
2017-10-25 12:21:47.264600, 1
2017-10-25 12:21:57.592700, 1
2017-10-25 12:22:07.967800, 1
2017-10-25 12:22:18.327200, 1
2017-10-25 12:22:28.686600, 1
2017-10-25 12:22:39.061600, 1
2017-10-25 12:22:49.421000, 1
2017-10-25 12:22:59.983500, 1
2017-10-25 12:23:10.358500, 1
2017-10-25 12:23:20.796000, 1
2017-10-25 12:23:31.186700, 1
2017-10-25 12:23:41.561700, 1
2017-10-25 12:23:51.983600, 1
2017-10-25 12:24:02.311700, 2
2017-10-25 12:24:12.702400, 2
2017-10-25 12:24:23.093000, 2
2017-10-25 12:24:33.499300, 2
2017-10-25 12:24:44.155600, 2
2017-10-25 12:24:54.530600, 2
2017-10-25 12:25:04.921300, 2
2017-10-25 12:25:15.296200, 1
2017-10-25 12:25:25.796300, 1
2017-10-25 12:25:36.155700, 1
2017-10-25 12:25:46.483800, 1
2017-10-25 12:25:56.843200, 1
2017-10-25 12:26:07.171400, 1
2017-10-25 12:26:17.546400, 1
2017-10-25 12:26:27.968300, 1
2017-10-25 12:26:38.312100, 1
2017-10-25 12:26:48.687100, 1
2017-10-25 12:26:59.046500, 1
2017-10-25 12:27:09.421500, 1
2017-10-25 12:27:19.765200, 1
2017-10-25 12:27:30.109000, 1
2017-10-25 12:27:40.452800, 1
2017-10-25 12:27:50.780900, 1
2017-10-25 12:28:01.140300, 1
2017-10-25 12:28:11.546600, 1
2017-10-25 12:28:21.890400, 1
2017-10-25 12:28:32.234200, 1
2017-10-25 12:28:42.577900, 1
2017-10-25 12:28:52.921700, 1
2017-10-25 12:29:03.296700, 2
2017-10-25 12:29:13.687400, 2
2017-10-25 12:29:24.078000, 2
2017-10-25 12:29:34.499900, 2
2017-10-25 12:29:44.984300, 2
2017-10-25 12:29:55.484300, 2
2017-10-25 12:30:05.875000, 2
2017-10-25 12:30:16.250000, 2
2017-10-25 12:30:26.593700, 2
2017-10-25 12:30:36.937500, 2
2017-10-25 12:30:47.328300, 2
2017-10-25 12:30:57.687600, 2
2017-10-25 12:31:08.047000, 2
2017-10-25 12:31:18.406300, 2
2017-10-25 12:31:28.765700, 2
2017-10-25 12:31:39.140800, 2
2017-10-25 12:31:49.547000, 2
2017-10-25 12:31:59.922100, 2
2017-10-25 12:32:10.281500, 2
2017-10-25 12:32:20.625200, 2
2017-10-25 12:32:31.000300, 2
2017-10-25 12:32:41.328400, 2
2017-10-25 12:32:51.687800, 2
2017-10-25 12:33:02.031600, 2
2017-10-25 12:33:12.406600, 2
2017-10-25 12:33:22.750300, 2
2017-10-25 12:33:33.094100, 2
2017-10-25 12:33:43.437900, 2
2017-10-25 12:33:53.750400, 2
2017-10-25 12:34:04.109800, 2
2017-10-25 12:34:14.500400, 2
2017-10-25 12:34:24.828600, 2
2017-10-25 12:34:35.188000, 2
2017-10-25 12:34:45.563000, 2
2017-10-25 12:34:55.922400, 2
2017-10-25 12:35:06.266200, 2
2017-10-25 12:35:16.625600, 2
2017-10-25 12:35:27.000600, 2
2017-10-25 12:35:37.328700, 2
2017-10-25 12:35:47.672500, 2
2017-10-25 12:35:58.063100, 2
2017-10-25 12:36:08.391300, 2
2017-10-25 12:36:18.750700, 2
2017-10-25 12:36:29.078800, 2
2017-10-25 12:36:39.422600, 2
2017-10-25 12:36:49.782000, 2
2017-10-25 12:37:00.157000, 2
2017-10-25 12:37:10.547700, 2
2017-10-25 12:37:20.891500, 2
2017-10-25 12:37:31.250800, 2
2017-10-25 12:37:41.625900, 2
2017-10-25 12:37:51.969600, 2
2017-10-25 12:38:02.329000, 2
2017-10-25 12:38:12.704100, 2
2017-10-25 12:38:23.063500, 2
2017-10-25 12:38:33.391600, 2
2017-10-25 12:38:43.735400, 2
2017-10-25 12:38:54.094700, 2
2017-10-25 12:39:05.204200, 2
2017-10-25 12:39:15.563500, 2
2017-10-25 12:39:25.922900, 2
2017-10-25 12:39:36.266700, 2
2017-10-25 12:39:46.610700, 2
2017-10-25 12:39:56.954200, 2
2017-10-25 12:40:07.298000, 2
2017-10-25 12:40:17.626100, 2
2017-10-25 12:40:27.969900, 2
2017-10-25 12:40:38.313700, 2
2017-10-25 12:40:48.688700, 2
2017-10-25 12:40:59.048100, 2
2017-10-25 12:41:09.391900, 2
2017-10-25 12:41:19.751300, 2
2017-10-25 12:41:30.095000, 2
2017-10-25 12:41:40.454400, 2
2017-10-25 12:41:50.845100, 2
2017-10-25 12:42:01.188900, 2
2017-10-25 12:42:11.610800, 2
2017-10-25 12:42:21.938900, 2
2017-10-25 12:42:32.298300, 2
2017-10-25 12:42:42.657700, 2
2017-10-25 12:42:53.048400, 3
2017-10-25 12:43:03.392100, 3
2017-10-25 12:43:13.767100, 3
2017-10-25 12:43:24.126500, 3
2017-10-25 12:43:34.470300, 3
2017-10-25 12:43:44.829700, 3
2017-10-25 12:43:55.157900, 3
2017-10-25 12:44:05.517300, 3
2017-10-25 12:44:15.892200, 3
2017-10-25 12:44:26.236000, 3
2017-10-25 12:44:36.595400, 3
2017-10-25 12:44:46.939200, 3
2017-10-25 12:44:57.298600, 3
2017-10-25 12:45:07.626700, 3
2017-10-25 12:45:18.017400, 3
2017-10-25 12:45:28.377700, 3
2017-10-25 12:45:38.751800, 3
2017-10-25 12:45:49.079900, 3
2017-10-25 12:45:59.439400, 3
