Instance, Tickets
2017-10-28 00:00:00.723100, 0
2017-10-28 00:00:08.566900, 0
2017-10-28 00:00:11.004400, 0
2017-10-28 00:00:18.895000, 0
2017-10-28 00:00:21.285600, 0
2017-10-28 00:00:29.270100, 0
2017-10-28 00:00:31.566900, 0
2017-10-28 00:00:39.613800, 0
2017-10-28 00:00:41.848200, 0
2017-10-28 00:00:49.957600, 0
2017-10-28 00:00:52.082600, 0
2017-10-28 00:01:00.379800, 0
2017-10-28 00:01:02.348300, 0
2017-10-28 00:01:10.738900, 0
2017-10-28 00:01:12.629500, 0
2017-10-28 00:01:21.238900, 0
2017-10-28 00:01:22.895200, 0
2017-10-28 00:01:31.629500, 0
2017-10-28 00:01:33.192000, 0
2017-10-28 00:01:41.926400, 0
2017-10-28 00:01:43.504600, 0
2017-10-28 00:01:52.207700, 0
2017-10-28 00:01:53.785800, 0
2017-10-28 00:02:02.489000, 0
2017-10-28 00:02:04.067100, 0
2017-10-28 00:02:12.770200, 0
2017-10-28 00:02:14.348400, 0
2017-10-28 00:02:23.098400, 0
2017-10-28 00:02:24.629600, 0
2017-10-28 00:02:33.489000, 0
2017-10-28 00:02:34.895300, 0
2017-10-28 00:02:43.832800, 0
2017-10-28 00:02:45.207800, 0
2017-10-28 00:02:54.176600, 0
2017-10-28 00:02:55.489100, 0
2017-10-28 00:03:04.536000, 0
2017-10-28 00:03:05.786000, 0
2017-10-28 00:03:14.911000, 0
2017-10-28 00:03:16.082900, 0
2017-10-28 00:03:25.192300, 0
2017-10-28 00:03:26.348500, 0
2017-10-28 00:03:35.489100, 0
2017-10-28 00:03:36.629800, 0
2017-10-28 00:03:45.770400, 0
2017-10-28 00:03:46.926800, 0
2017-10-28 00:03:56.051700, 0
2017-10-28 00:03:57.192300, 0
2017-10-28 00:04:06.333000, 0
2017-10-28 00:04:07.458000, 0
2017-10-28 00:04:16.598600, 0
2017-10-28 00:04:17.723600, 0
2017-10-28 00:04:26.879900, 0
2017-10-28 00:04:28.020500, 0
2017-10-28 00:04:37.161200, 0
2017-10-28 00:04:38.379900, 0
2017-10-28 00:04:47.458100, 0
2017-10-28 00:04:48.739300, 0
2017-10-28 00:04:57.864300, 0
2017-10-28 00:04:59.051800, 0
2017-10-28 00:05:08.223700, 0
2017-10-28 00:05:09.489300, 0
2017-10-28 00:05:18.551900, 0
2017-10-28 00:05:19.880200, 0
2017-10-28 00:05:28.848800, 0
2017-10-28 00:05:30.301900, 0
2017-10-28 00:05:39.145700, 0
2017-10-28 00:05:40.630100, 0
2017-10-28 00:05:49.426900, 0
2017-10-28 00:05:51.020700, 0
2017-10-28 00:05:59.723800, 0
2017-10-28 00:06:01.333200, 0
2017-10-28 00:06:09.973800, 0
2017-10-28 00:06:11.755100, 0
2017-10-28 00:06:20.255100, 0
2017-10-28 00:06:22.098800, 0
2017-10-28 00:06:30.520800, 0
2017-10-28 00:06:32.458300, 0
2017-10-28 00:06:40.833300, 0
2017-10-28 00:06:42.770800, 0
2017-10-28 00:06:51.114600, 0
2017-10-28 00:06:53.052100, 0
2017-10-28 00:07:01.395800, 0
2017-10-28 00:07:03.349000, 0
2017-10-28 00:07:11.661500, 0
2017-10-28 00:07:13.630200, 0
2017-10-28 00:07:21.927100, 0
2017-10-28 00:07:23.911500, 0
2017-10-28 00:07:32.208400, 0
2017-10-28 00:07:34.192800, 0
