Instance, Tickets
2017-10-25 12:16:53.717100, 57
2017-10-25 12:17:54.998500, 55
2017-10-25 12:18:55.920500, 51
2017-10-25 12:19:57.592500, 48
2017-10-25 12:20:58.873900, 46
2017-10-25 12:22:00.327200, 40
2017-10-25 12:22:41.139700, 36
2017-10-25 12:23:22.092900, 36
2017-10-25 12:24:03.233600, 37
2017-10-25 12:24:43.718100, 39
2017-10-25 12:25:24.171300, 36
2017-10-25 12:26:04.968200, 34
2017-10-25 12:26:46.296500, 34
2017-10-25 12:27:27.155900, 31
2017-10-25 12:28:08.077900, 31
2017-10-25 12:28:49.281100, 31
2017-10-25 12:29:30.171800, 32
2017-10-25 12:30:11.031200, 31
2017-10-25 12:30:52.468800, 30
2017-10-25 12:31:33.312600, 31
2017-10-25 12:32:14.203300, 30
2017-10-25 12:32:55.672200, 30
2017-10-25 12:33:36.562900, 30
2017-10-25 12:34:17.469200, 31
2017-10-25 12:34:58.984900, 32
2017-10-25 12:35:39.813100, 32
2017-10-25 12:36:20.610000, 33
2017-10-25 12:37:01.907000, 33
2017-10-25 12:37:42.782200, 33
2017-10-25 12:38:23.657200, 32
2017-10-25 12:39:05.032500, 31
2017-10-25 12:39:45.876100, 32
2017-10-25 12:40:26.751200, 32
2017-10-25 12:41:08.001200, 31
2017-10-25 12:41:48.813800, 30
2017-10-25 12:42:29.657700, 32
2017-10-25 12:43:10.829700, 31
2017-10-25 12:43:51.986000, 31
2017-10-25 12:44:32.861000, 31
2017-10-25 12:45:14.314200, 32
2017-10-25 12:45:55.204900, 32
2017-10-25 12:46:36.048800, 33
2017-10-25 12:47:17.533200, 33
2017-10-25 12:47:58.392700, 33
2017-10-25 12:48:39.252100, 34
2017-10-25 12:49:20.627200, 35
2017-10-25 12:50:01.471100, 35
2017-10-25 12:50:42.330600, 35
2017-10-25 12:51:23.674800, 36
2017-10-25 12:52:03.971300, 36
2017-10-25 12:52:45.112000, 35
2017-10-25 12:53:26.518400, 36
2017-10-25 12:54:07.377900, 36
2017-10-25 12:54:48.487200, 37
2017-10-25 12:55:29.721700, 37
2017-10-25 12:56:10.596800, 37
2017-10-25 12:56:51.471900, 37
2017-10-25 12:57:32.690800, 37
2017-10-25 12:58:13.581400, 37
2017-10-25 12:58:55.003300, 39
2017-10-25 12:59:47.456600, 39
2017-10-25 13:00:51.222300, 41
2017-10-25 13:01:55.284900, 44
2017-10-25 13:02:59.613200, 43
2017-10-25 13:04:00.894600, 43
2017-10-25 13:05:02.410300, 42
2017-10-25 13:06:03.551100, 42
2017-10-25 13:06:54.707400, 42
2017-10-25 13:07:45.285600, 43
2017-10-25 13:08:41.770100, 43
2017-10-25 13:09:45.926500, 43
2017-10-25 13:10:48.442200, 42
2017-10-25 13:11:49.598600, 42
2017-10-25 13:12:51.317500, 42
2017-10-25 13:13:52.520700, 42
2017-10-25 13:14:44.552100, 43
2017-10-25 13:15:48.942800, 45
2017-10-25 13:16:53.724200, 47
2017-10-25 13:17:56.286800, 47
2017-10-25 13:18:57.990100, 47
2017-10-25 13:19:59.099500, 49
2017-10-25 13:21:01.271600, 51
2017-10-25 13:21:52.552900, 51
2017-10-25 13:22:43.443600, 51
2017-10-25 13:23:39.584400, 52
2017-10-25 13:24:44.240700, 52
2017-10-25 13:25:46.772100, 50
2017-10-25 13:26:47.944100, 52
2017-10-25 13:27:49.459900, 55
2017-10-25 13:28:40.959900, 56
2017-10-25 13:29:31.676100, 55
2017-10-25 13:30:29.932600, 54
2017-10-25 13:31:34.114800, 56
2017-10-25 13:32:35.373300, 56
2017-10-25 13:33:37.178900, 55
2017-10-25 13:34:27.570000, 56
2017-10-25 13:35:19.457100, 57
2017-10-25 13:36:15.751400, 56
2017-10-25 13:37:21.235300, 55
2017-10-25 13:38:22.546500, 55
2017-10-25 13:39:24.180500, 55
2017-10-25 13:40:25.341900, 57
2017-10-25 13:41:20.627900, 57
2017-10-25 13:42:25.633400, 58
2017-10-25 13:43:28.763800, 60
2017-10-25 13:44:30.095000, 60
2017-10-25 13:45:31.643900, 60
2017-10-25 13:46:32.599100, 59
2017-10-25 13:47:34.054400, 61
2017-10-25 13:48:34.978300, 59
2017-10-25 13:49:36.292000, 58
2017-10-25 13:50:37.199300, 56
2017-10-25 13:51:38.528200, 56
2017-10-25 13:52:39.904000, 56
2017-10-25 13:53:41.326800, 56
2017-10-25 13:54:42.796100, 58
2017-10-25 13:55:43.749800, 59
2017-10-25 13:56:45.109700, 62
2017-10-25 13:57:46.610200, 60
2017-10-25 13:58:47.626300, 59
2017-10-25 13:59:49.063900, 59
2017-10-25 14:00:50.032800, 58
2017-10-25 14:01:51.454800, 57
2017-10-25 14:02:52.392400, 57
2017-10-25 14:03:54.142500, 56
2017-10-25 14:04:55.314500, 57
2017-10-25 14:05:56.924000, 59
2017-10-25 14:06:57.908500, 60
2017-10-25 14:07:59.174300, 62
2017-10-25 14:09:00.174400, 63
2017-10-25 14:10:01.674500, 62
2017-10-25 14:11:02.799600, 63
2017-10-25 14:12:04.252900, 62
2017-10-25 14:13:05.581100, 60
2017-10-25 14:14:06.534300, 59
2017-10-25 14:15:08.128200, 59
2017-10-25 14:16:09.190900, 56
2017-10-25 14:17:10.847300, 55
2017-10-25 14:18:12.550500, 55
2017-10-25 14:19:13.800600, 56
2017-10-25 14:20:15.394500, 57
2017-10-25 14:21:16.972700, 57
2017-10-25 14:22:18.722800, 57
2017-10-25 14:23:19.629200, 56
2017-10-25 14:24:21.144900, 57
2017-10-25 14:25:22.332500, 57
2017-10-25 14:26:23.723300, 56
2017-10-25 14:27:24.661200, 57
2017-10-25 14:28:26.067300, 56
2017-10-25 14:29:27.270600, 55
2017-10-25 14:30:28.942500, 55
2017-10-25 14:31:29.880100, 56
2017-10-25 14:32:31.364600, 58
2017-10-25 14:33:32.442900, 54
2017-10-25 14:34:33.833600, 55
2017-10-25 14:35:34.740000, 56
2017-10-25 14:36:36.287000, 55
2017-10-25 14:37:37.959000, 54
2017-10-25 14:38:39.115400, 54
2017-10-25 14:39:40.818600, 54
2017-10-25 14:40:41.990800, 53
2017-10-25 14:41:43.537600, 53
2017-10-25 14:42:44.709600, 50
2017-10-25 14:43:46.475400, 50
2017-10-25 14:44:47.897300, 51
2017-10-25 14:45:49.569300, 51
2017-10-25 14:46:50.741300, 51
2017-10-25 14:47:52.350900, 52
2017-10-25 14:48:53.538400, 53
2017-10-25 14:49:55.069800, 53
2017-10-25 14:50:56.554300, 53
2017-10-25 14:51:57.976300, 53
2017-10-25 14:52:58.992200, 54
2017-10-25 14:54:00.429700, 55
2017-10-25 14:55:01.398500, 52
2017-10-25 14:56:03.133000, 52
2017-10-25 14:57:04.101900, 51
2017-10-25 14:58:05.586400, 52
2017-10-25 14:59:06.508400, 50
2017-10-25 15:00:08.039700, 49
2017-10-25 15:01:09.211800, 52
2017-10-25 15:02:10.696200, 51
2017-10-25 15:03:11.696500, 50
2017-10-25 15:04:13.384200, 53
2017-10-25 15:05:14.790400, 52
2017-10-25 15:06:15.696700, 52
2017-10-25 15:07:17.134400, 53
2017-10-25 15:08:18.368800, 51
2017-10-25 15:09:20.212800, 51
2017-10-25 15:10:21.650300, 52
2017-10-25 15:11:23.384800, 52
2017-10-25 15:12:24.603700, 51
2017-10-25 15:13:26.166300, 50
2017-10-25 15:14:27.354100, 50
